assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,9,232,100,100,2,57249,0,0,-3,3,278.9,3,0,3,2.9,3.9,0,Henrikh,3.4,17,5,97.1,18,False,303.6,0,0,0,0,1003,,2018-12-21T11:31:16Z,67,0,0,0,57249.jpg,4.3,0,0,Mkhitaryan,4.5,False,7,a,1,3,387.0,68,852028,569,1332353,254,0.5,10.1,Mkhitaryan,0
0,0,0,0,0,0,200641,0,0,-1,1,0.0,0,0,3,0.0,0.0,0,Reiss,0.0,0,0,0.0,19,False,0.0,0,0,0,0,0,Season-long loan to Hoffenheim,2018-09-02T07:29:58Z,44,0,0,0,200641.jpg,0.0,0,0,Nelson,0.4,False,48,u,1,3,0.0,0,4138,0,32728,3,0.0,0.0,Nelson,0
1,3,101,100,100,0,154043,0,0,-1,1,70.9,0,0,3,0.7,1.7,0,Ainsley,1.2,11,1,31.0,20,False,147.0,0,0,0,0,521,,2019-02-21T17:31:20Z,44,0,0,0,154043.jpg,2.7,0,0,Maitland-Niles,0.4,False,15,a,1,3,92.0,24,38364,18,49811,43,0.3,5.5,Maitland-Niles,1
1,3,63,0,0,0,50175,0,0,-1,1,56.8,0,0,4,0.0,0.0,0,Danny,0.0,3,1,19.5,21,False,73.6,0,0,0,0,146,Ankle injury - Unknown return date,2018-11-08T23:01:14Z,64,0,0,0,50175.jpg,2.4,0,0,Welbeck,0.5,False,23,i,1,3,66.0,19,29260,4,49955,2,0.0,3.0,Welbeck,0
8,19,445,75,75,4,59966,0,0,0,0,340.8,1,0,4,3.4,4.1,0,Alexandre,5.0,22,11,188.2,22,False,643.2,0,0,0,0,1803,,2018-11-25T13:01:16Z,95,0,0,0,59966.jpg,5.0,0,0,Lacazette,11.1,False,9,a,1,3,902.0,129,1847678,2063,1485368,2369,0.5,13.6,Lacazette,2
6,24,543,100,100,5,54694,0,0,0,0,358.1,4,0,4,2.5,3.5,0,Pierre-Emerick,3.0,32,15,198.2,23,True,693.4,0,0,0,0,2015,,2019-02-07T14:31:19Z,110,0,0,0,54694.jpg,5.8,0,0,Aubameyang,24.9,False,14,a,1,3,932.0,151,3314684,584,2958320,7403,0.3,13.7,Aubameyang,0
3,6,367,100,100,5,198849,0,0,-2,2,256.0,1,0,3,0.9,1.9,0,Lucas,1.4,28,2,83.8,450,False,402.6,0,0,0,0,1937,,2018-09-23T14:31:13Z,48,0,0,0,198849.jpg,2.6,0,0,Torreira,4.3,False,11,a,1,3,177.0,70,674988,187,558852,449,0.3,14.6,Torreira,5
0,0,249,100,100,2,242166,0,0,-1,1,233.8,0,0,3,0.5,1.5,0,Matteo,1.0,24,0,59.1,451,False,257.8,0,0,0,0,1553,,2018-11-01T01:01:15Z,44,0,0,0,242166.jpg,1.5,0,0,Guendouzi,1.9,False,29,a,1,3,99.0,35,257048,71,248880,139,0.2,8.0,Guendouzi,5
0,0,0,0,0,0,98980,0,0,0,0,0.0,0,0,1,0.0,0.0,0,Emiliano,0.0,0,0,0.0,542,False,0.0,0,0,0,0,0,Season-long loan to Reading,2019-01-23T13:31:19Z,40,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,26,u,1,3,0.0,0,21786,1,15201,17,0.0,0.0,Martínez,0
0,0,0,0,0,0,209289,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Emile,0.0,0,0,0.0,545,False,0.0,0,0,0,0,0,Season-long loan to RB Leipzig,2019-01-31T19:01:19Z,45,0,0,0,209289.jpg,0.0,0,0,Smith-Rowe,0.0,False,55,u,1,3,0.0,0,561,0,536,0,0.0,0.0,Smith-Rowe,0
