player,negative,positive
Son,1,0
Vardy,0,1
Morata,0,1
Willian,1,0
Pedro,0,1
Kanté,1,0
Sterling,0,1
David Silva,1,0
Sane,1,0
Sigurdsson,1,0
Jiménez,0,1
Redmond,1,0
Rashford,0,1
Pogba,1,0
Martial,1,0
Wilson,0,1
Richarlison,1,0
Agüero,0,1
Hazard,0,1
Salah,0,1
Kane,1,0
Aubameyang,0,1
